,tconst,titleType,primaryTitle,originalTitle,startYear,endYear,averageRating,numVotes,seriesScore,seriesRank,episodeScore,episodeRank,totalRuntime,combinedMetric
17456,tt8116380,tvSeries,A.I.C.O. Incarnation,A.I.C.O. Incarnation,2018,2018,6.3,1386,5.66,78770,5.929166666666667,27171,464,16.779541666666667
17457,tt5730690,tvMiniSeries,Kiss Me First,Kiss Me First,2018,2018,6.3,4194,5.67,78738,5.918333333333333,27367,281,16.778475
17458,tt0112093,tvSeries,Ned and Stacey,Ned and Stacey,1995,2017,7.0,1897,6.01,58048,5.583333333333333,32308,1032,16.777916666666666
17459,tt4520906,tvSeries,Beowulf: Return to the Shieldlands,Beowulf: Return to the Shieldlands,2016,2016,5.7,3556,5.36,90340,6.26,17971,564,16.7768
17460,tt6461706,tvSeries,Ten Days in the Valley,Ten Days in the Valley,2017,2018,6.2,1530,5.61,80929,5.981,26129,429,16.776705
17461,tt2334268,tvSeries,De vijfhoek,De vijfhoek,2012,2012,6.6,73,5.8,70878,5.7846153846153845,29858,503,16.775384615384613
17462,tt4292186,tvSeries,The Disappearance of Nagato Yuki-chan,Nagato Yuki-chan no Shoshitsu,2015,2015,6.2,460,5.6,81005,5.991176470588235,25938,408,16.775294117647057
17463,tt0211816,tvSeries,The Jersey,The Jersey,1999,2004,7.2,423,6.1,51063,5.5,32903,39,16.775
17464,tt11075224,tvMiniSeries,"Laika, Lada, Marx ja mä","Laika, Lada, Marx ja mä",2019,2019,6.0,11,5.5,85228,6.1,22746,56,16.775
17465,tt8943574,tvSeries,The Bank,Pank,2018,2018,6.0,220,5.5,85228,6.1,22746,39,16.775
17466,tt0098773,tvSeries,Counterstrike,Counterstrike,1990,1993,7.2,228,6.1,51063,5.5,32903,77,16.775
17467,tt2955596,tvSeries,Baba Aiso Varr Dhoondo,Baba Aiso Varr Dhoondo,2010,2012,7.2,22,6.1,51063,5.5,32903,39,16.775
17468,tt9841996,tvSeries,Brorsor Forever,Brorsor Forever,2019,2019,7.2,74,6.1,51063,5.5,32903,39,16.775
17469,tt11477416,tvSeries,257 Reasons to Live,"257 prichin, chtoby zhit",2020,2021,7.2,162,6.1,51063,5.5,32903,39,16.775
17470,tt0379641,tvSeries,Little Robots,Little Robots,2003,2005,6.0,187,5.5,85228,6.1,22746,8,16.775
17471,tt0251517,tvMiniSeries,Kiimaiset poliisit,Kiimaiset poliisit,1993,1993,6.0,56,5.5,85228,6.1,22746,58,16.775
17472,tt0300213,tvSeries,The Morph Files,The Morph Files,1995,1996,7.2,134,6.1,51063,5.5,32903,9,16.775
17473,tt9145372,tvSeries,The Accident,The Accident,2019,2019,6.3,2813,5.66,78770,5.9275,27187,189,16.774825
17474,tt0961121,tvSeries,Horseland,Horseland,2006,2008,5.9,492,5.45,87204,6.155882352941177,21216,733,16.774779411764708
17475,tt1641653,tvMiniSeries,America: The Story of the US,America: The Story of Us,2010,2010,7.3,1944,6.16,47267,5.446153846153846,33418,546,16.774153846153848
17476,tt1520788,tvSeries,The Greatest,The Greatest,1998,2014,6.5,32,5.75,73709,5.834444444444444,29024,1980,16.77402777777778
17477,tt1077065,tvSeries,Sin tetas no hay paraíso,Sin tetas no hay paraíso,2008,2009,5.8,599,5.4,88694,6.2125,19431,1120,16.773750000000003
17478,tt1529720,tvSeries,Het goddelijke monster,Het goddelijke monster,2011,2011,6.3,180,5.65,78886,5.9375,27001,310,16.7734375
17479,tt14542020,tvSeries,The Fog of Murder,The Fog of Murder,2021,2021,6.3,78,5.65,78886,5.9375,27001,155,16.7734375
17480,tt8045468,tvSeries,Run,Run,2020,2020,6.2,7887,5.63,80902,5.958571428571429,26555,191,16.773378571428573
17481,tt0115242,tvSeries,The Legacy of Reginald Perrin,The Legacy of Reginald Perrin,1996,1996,6.8,72,5.9,64836,5.685714285714285,31165,271,16.77285714285714
17482,tt0439410,tvSeries,Young Blades,Young Blades,2005,2005,6.2,311,5.6,81005,5.99,25945,193,16.772
17483,tt13405062,tvSeries,Back Arrow,Back Arrow,2021,2021,6.1,232,5.55,83382,6.04375,24502,929,16.77140625
17484,tt8887956,tvSeries,Death by Magic,Death by Magic,2018,2018,6.1,746,5.55,83382,6.04375,24502,310,16.77140625
17485,tt9179882,tvMiniSeries,Enslaved,Enslaved,2020,2020,6.5,658,5.75,73709,5.833333333333333,29030,312,16.770833333333332
17486,tt1152812,tvSeries,There's Nothing to Worry About!,There's Nothing to Worry About!,1982,1982,6.5,67,5.75,73709,5.833333333333333,29030,116,16.770833333333332
17487,tt1850458,tvSeries,Whitney,Whitney,2011,2013,5.7,13007,5.39,90325,6.221578947368421,19202,828,16.767155263157893
17488,tt3369764,tvSeries,Cirkeline,Cirkeline,1967,2023,7.2,42,6.1,51063,5.497222222222223,33095,239,16.766527777777778
17489,tt9005670,tvMiniSeries,Arbogafallet,Arbogafallet,2018,2018,6.8,143,5.9,64836,5.683333333333334,31178,186,16.765833333333337
17490,tt13303050,tvSeries,Past Malice,Emma Fielding Mysteries,2017,2019,6.8,495,5.9,64836,5.683333333333334,31178,330,16.765833333333337
17491,tt0159176,tvSeries,Lupin III: Part III,Rupan sansei: Part III,1984,1985,7.5,487,6.25,40251,5.365,33923,1200,16.765625
17492,tt0149547,tvSeries,The New Adventures of Zorro,The New Adventures of Zorro,1981,1981,7.0,301,6.0,58225,5.588461538461539,32280,273,16.76538461538462
17493,tt2349440,tvSeries,Robot and Monster,Robot and Monster,2012,2015,5.8,2115,5.41,88646,6.197916666666667,20133,569,16.765364583333334
17494,tt0101194,tvSeries,Second Thoughts,Second Thoughts,1991,1994,6.9,129,5.95,61763,5.635000000000001,31681,740,16.764125000000003
17495,tt0775407,tvSeries,Wonder Pets!,Wonder Pets!,2006,2016,6.5,2367,5.76,73583,5.820833333333334,29240,1448,16.764
17496,tt3519238,tvSeries,Nanana's Buried Treasure,Ryuugajou Nanana no Maizoukin,2014,2014,6.4,182,5.7,76291,5.881818181818182,28201,426,16.76318181818182
17497,tt10956014,tvSeries,Baalveer Returns,Baalveer Returns,2019,2021,4.0,1207,4.5,104072,7.45,230,87,16.7625
